Geometry_Section,Atom_Number,Element,X_Angstrom,Y_Angstrom,Z_Angstrom
2,23,C,12.034211,5.166921,-0.094098
2,24,C,12.910228,6.300077,-0.711142
2,25,C,12.345677,7.710008,-0.394251
2,26,C,10.86705,7.849275,-0.063507
2,27,C,0.898837,-1.915816,1.090169
2,28,C,2.395627,-2.014435,0.776836
2,29,C,3.226646,-0.752325,0.593664
2,30,C,4.692324,-0.854183,0.175047
2,31,C,5.54759,0.41026,0.169856
2,32,C,7.047956,0.278532,-0.050765
2,33,C,7.917036,1.53646,-0.130337
2,34,C,9.417744,1.411275,-0.342628
2,35,C,10.294495,2.660562,-0.395434
2,36,C,11.807108,2.533733,-0.492864
2,37,C,12.679808,3.778762,-0.365367
2,38,C,14.199965,3.617461,-0.385883
2,39,C,15.075128,4.853382,-0.251435
2,40,C,14.39034,6.211077,-0.272852
2,41,C,3.0831,-3.367364,0.647614
2,42,C,4.534385,-3.453383,0.16001
2,43,C,5.330967,-2.199523,-0.266002
2,44,C,6.815865,-2.37053,0.181738
2,45,C,7.680111,-1.111619,-0.117904
2,46,C,9.183401,-1.226466,-0.41725
2,47,C,10.048197,0.032466,-0.486874
2,48,C,11.551833,-0.087811,-0.663885
2,49,C,12.440927,1.151053,-0.606839
2,50,C,13.958428,0.993589,-0.560237
2,51,C,14.839582,2.229796,-0.42867
2,52,C,16.353462,2.071968,-0.219347
2,53,C,17.23926,3.317354,-0.101917
2,54,C,16.598073,4.708572,-0.107265
2,55,C,5.20566,-4.813354,0.070925
2,56,C,6.571799,-4.933065,-0.614778
2,57,C,7.449998,-3.699029,-0.324507
2,58,C,8.956139,-3.823723,-0.533063
2,59,C,9.829474,-2.591701,-0.600177
2,60,C,11.341217,-2.747642,-0.847097
2,61,C,12.179444,-1.46416,-0.839723
2,62,C,13.678319,-1.640384,-0.590042
2,63,C,14.578273,-0.40872,-0.497217
2,64,C,16.074646,-0.572185,-0.244897
2,65,C,16.966265,0.665327,-0.107314
2,66,C,18.48326,0.500882,0.077342
2,67,C,19.374597,1.740496,0.14862
2,68,C,18.756376,3.144643,0.052025
2,69,C,7.243708,-6.277618,-0.255201
2,70,C,8.754426,-6.438989,-0.391111
2,71,C,9.607823,-5.198193,-0.653455
2,72,C,11.097861,-5.337691,-0.968477
2,73,C,12.029186,-4.10671,-1.100236
2,74,C,13.280165,-4.241681,-0.196627
2,75,C,14.24418,-3.029716,-0.317642
2,76,C,15.758449,-3.189964,-0.123998
2,77,C,16.672971,-1.963206,-0.075486
2,78,C,18.181167,-2.124754,0.170275
2,79,C,19.094692,-0.894258,0.233059
2,80,C,20.608622,-1.059358,0.473282
2,81,C,21.503298,0.180417,0.500217
2,82,C,20.886028,1.571598,0.345637
2,83,C,9.451658,-7.800949,-0.224381
2,84,C,10.93261,-7.909737,-0.562332
2,85,C,11.678041,-6.737546,-1.233594
2,86,C,13.168261,-6.833317,-0.866249
2,87,C,13.963218,-5.617285,-0.39653
2,88,C,15.465495,-5.795628,-0.155854
2,89,C,16.363149,-4.579325,0.021629
2,90,C,17.863959,-4.746327,0.273005
2,91,C,18.774108,-3.516727,0.355251
2,92,C,20.273919,-3.68024,0.624008
2,93,C,21.191391,-2.454152,0.699022
2,94,C,22.691531,-2.587781,1.014319
2,95,C,23.577552,-1.348411,1.027388
2,96,C,23.023014,0.049303,0.7
2,97,C,13.249553,8.964298,-0.388582
2,98,O,14.664444,8.868284,-0.859775
2,99,O,12.716096,10.300582,0.006318
2,100,H,14.981387,9.847799,-1.241317
2,101,C,8.692706,-9.043568,0.285803
2,102,O,9.39518,-10.362801,0.435956
2,103,O,7.264007,-8.9464,0.662042
